datetime,BTCUSDT,ETHUSDT
2023-11-25 03:51:00,37763.21,2086.7
2023-11-25 03:52:00,37759.21,2086.72
2023-11-25 03:53:00,37784.71,2086.54
2023-11-25 03:54:00,37780.01,2086.33
2023-11-25 03:55:00,37783.21,2086.33
2023-11-25 03:56:00,37785.99,2087.83
2023-11-25 03:57:00,37785.34,2087.82
2023-11-25 03:58:00,37785.97,2087.82
2023-11-25 03:59:00,37785.97,2087.82
2023-11-25 04:00:00,37800.27,2087.82
2023-11-25 04:01:00,37785.48,2087.82
2023-11-25 04:02:00,37789.23,2085.91
2023-11-25 04:03:00,37782.54,2085.91
2023-11-25 04:04:00,37775.0,2085.91
2023-11-25 04:05:00,37771.73,2085.9
2023-11-25 04:06:00,37779.12,2085.9
2023-11-25 04:07:00,37771.96,2085.9
2023-11-25 04:08:00,37771.96,2087.24
2023-11-25 04:09:00,37771.97,2087.24
2023-11-25 04:10:00,37771.73,2086.98
2023-11-25 04:11:00,37769.98,2086.98
2023-11-25 04:12:00,37766.52,2086.98
2023-11-25 04:13:00,37764.02,2086.98
2023-11-25 04:14:00,37761.13,2085.91
2023-11-25 04:15:00,37753.46,2085.91
2023-11-25 04:16:00,37764.75,2085.91
2023-11-25 04:17:00,37753.45,2085.91
2023-11-25 04:18:00,37760.62,2085.75
2023-11-25 04:19:00,37773.29,2086.36
2023-11-25 04:20:00,37777.42,2086.97
2023-11-25 04:21:00,37783.29,2086.97
2023-11-25 04:22:00,37784.8,2086.98
2023-11-25 04:23:00,37777.77,2086.98
2023-11-25 04:24:00,37776.31,2087.33
2023-11-25 04:25:00,37776.62,2087.33
2023-11-25 04:26:00,37766.41,2086.08
2023-11-25 04:27:00,37768.32,2086.35
2023-11-25 04:28:00,37783.74,2086.35
2023-11-25 04:29:00,37774.61,2085.92
2023-11-25 04:30:00,37783.9,2085.92
2023-11-25 04:31:00,37783.27,2085.92
2023-11-25 04:32:00,37787.33,2085.92
2023-11-25 04:33:00,37783.27,2085.92
2023-11-25 04:34:00,37780.0,2087.44
2023-11-25 04:35:00,37783.8,2087.44
2023-11-25 04:36:00,37783.74,2086.8
2023-11-25 04:37:00,37764.33,2086.81
2023-11-25 04:38:00,37780.63,2086.79
2023-11-25 04:39:00,37759.59,2087.67
2023-11-25 04:40:00,37759.21,2087.43
2023-11-25 04:41:00,37769.51,2085.48
2023-11-25 04:42:00,37764.79,2085.46
2023-11-25 04:43:00,37762.76,2084.9
2023-11-25 04:44:00,37755.78,2085.38
2023-11-25 04:45:00,37765.84,2085.64
2023-11-25 04:46:00,37765.84,2085.68
2023-11-25 04:47:00,37765.84,2085.62
2023-11-25 04:48:00,37768.84,2085.1
2023-11-25 04:49:00,37768.59,2084.62
2023-11-25 04:50:00,37758.03,2084.44
2023-11-25 04:51:00,37757.86,2084.17
2023-11-25 04:52:00,37764.72,2085.31
2023-11-25 04:53:00,37764.59,2085.16
2023-11-25 04:54:00,37764.27,2084.98
2023-11-25 04:55:00,37764.78,2085.22
2023-11-25 04:56:00,37772.75,2085.75
2023-11-25 04:57:00,37772.75,2086.16
2023-11-25 04:58:00,37766.05,2086.16
2023-11-25 04:59:00,37778.51,2085.63
2023-11-25 05:00:00,37772.99,2086.14
2023-11-25 05:01:00,37775.0,2086.01
2023-11-25 05:02:00,37784.48,2086.74
2023-11-25 05:03:00,37784.58,2086.73
2023-11-25 05:04:00,37777.16,2087.21
2023-11-25 05:05:00,37776.25,2086.38
2023-11-25 05:06:00,37765.01,2085.89
2023-11-25 05:07:00,37773.05,2085.32
2023-11-25 05:08:00,37769.55,2085.32
2023-11-25 05:09:00,37775.5,2085.15
2023-11-25 05:10:00,37775.12,2085.15
2023-11-25 05:11:00,37750.0,2083.86
2023-11-25 05:12:00,37754.44,2083.42
2023-11-25 05:13:00,37752.78,2083.43
2023-11-25 05:14:00,37749.99,2083.43
2023-11-25 05:15:00,37732.62,2083.43
2023-11-25 05:16:00,37749.16,2083.27
2023-11-25 05:17:00,37749.58,2083.27
2023-11-25 05:18:00,37733.98,2083.27
2023-11-25 05:19:00,37723.93,2082.13
2023-11-25 05:20:00,37723.9,2081.43
2023-11-25 05:21:00,37720.11,2081.45
2023-11-25 05:22:00,37733.5,2082.0
2023-11-25 05:23:00,37741.74,2083.41
2023-11-25 05:24:00,37730.91,2084.26
2023-11-25 05:25:00,37759.58,2082.43
2023-11-25 05:26:00,37742.57,2082.42
2023-11-25 05:27:00,37743.35,2082.42
2023-11-25 05:28:00,37764.37,2082.42
2023-11-25 05:29:00,37744.08,2083.08
2023-11-25 05:30:00,37745.54,2083.08
2023-11-25 05:31:00,37745.96,2083.08
2023-11-25 05:32:00,37747.94,2083.08
2023-11-25 05:33:00,37774.94,2083.08
2023-11-25 05:34:00,37775.0,2084.52
2023-11-25 05:35:00,37775.04,2084.52
2023-11-25 05:36:00,37792.24,2084.52
2023-11-25 05:37:00,37792.24,2084.52
2023-11-25 05:38:00,37788.75,2084.52
2023-11-25 05:39:00,37780.74,2084.52
2023-11-25 05:40:00,37792.0,2084.52
2023-11-25 05:41:00,37791.92,2084.52
2023-11-25 05:42:00,37786.24,2084.52
2023-11-25 05:43:00,37782.94,2084.52
2023-11-25 05:44:00,37789.48,2084.52
2023-11-25 05:45:00,37786.24,2084.52
2023-11-25 05:46:00,37798.25,2084.52
2023-11-25 05:47:00,37797.57,2084.46
2023-11-25 05:48:00,37797.57,2084.46
2023-11-25 05:49:00,37798.43,2083.94
2023-11-25 05:50:00,37798.43,2083.94
2023-11-25 05:51:00,37798.43,2082.96
2023-11-25 05:52:00,37800.0,2082.93
2023-11-25 05:53:00,37800.0,2081.94
2023-11-25 05:54:00,37800.73,2083.35
2023-11-25 05:55:00,37812.55,2083.35
2023-11-25 05:56:00,37811.7,2083.35
2023-11-25 05:57:00,37808.84,2082.75
2023-11-25 05:58:00,37799.88,2082.75
2023-11-25 05:59:00,37808.84,2083.47
2023-11-25 06:00:00,37817.4,2083.47
2023-11-25 06:01:00,37817.41,2084.83
2023-11-25 06:02:00,37817.41,2084.84
2023-11-25 06:03:00,37822.18,2084.84
2023-11-25 06:04:00,37825.0,2084.93
2023-11-25 06:05:00,37828.85,2086.71
2023-11-25 06:06:00,37802.05,2086.71
2023-11-25 06:07:00,37824.7,2086.71
2023-11-25 06:08:00,37819.7,2086.71
2023-11-25 06:09:00,37802.3,2086.71
2023-11-25 06:10:00,37802.3,2082.62
2023-11-25 06:11:00,37802.28,2082.62
2023-11-25 06:12:00,37805.88,2082.13
2023-11-25 06:13:00,37798.38,2082.13
2023-11-25 06:14:00,37811.34,2084.11
2023-11-25 06:15:00,37794.4,2084.11
2023-11-25 06:16:00,37811.92,2084.11
2023-11-25 06:17:00,37810.64,2084.11
2023-11-25 06:18:00,37812.92,2084.11
